ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
11134966,Broekstraat,159,0.5,0.0,Oudenaarde,9700,FLANDERS,Oudenaarde,East Flanders,APARTMENT,APARTMENT,259600,residential_sale,2022.0,2,87.0,,,0,1.0,5.0,,,2.0,,,,50.8551618,3.6085322,,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11134966
10670346,Rinusveld,14,201,2.0,Scherpenheuvel-Zichem Testelt,3272,FLANDERS,Leuven,Flemish Brabant,APARTMENT,SERVICE_FLAT,344764,residential_sale,2023.0,2,91.0,,,0,1.0,46.0,,,4.0,,AS_NEW,A,51.016921,4.9549334,,https://www.immoweb.be/en/classified/service-flat/for-sale/scherpenheuvel-zichem-testelt/3272/10670346
11060503,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,406857,residential_sale,2024.0,2,91.0,,,0,1.0,13.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11060503
11052913,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,406857,residential_sale,2024.0,2,91.0,,,0,1.0,13.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11052913
11060502,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,412128,residential_sale,2024.0,2,99.0,,,0,1.0,8.0,,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11060502
11052915,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,412128,residential_sale,2024.0,2,99.0,,,0,1.0,8.0,,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11052915
11060497,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,443500,residential_sale,2024.0,2,103.0,,,0,1.0,14.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11060497
11052911,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,443500,residential_sale,2024.0,2,103.0,,,0,1.0,14.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11052911
11060501,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,456556,residential_sale,2024.0,3,118.0,,,0,1.0,16.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11060501
11060500,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,456556,residential_sale,2024.0,3,118.0,,,0,1.0,16.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11060500
